19	PAUL HARDCASTLE
Coward Of The County	KENNY ROGERS
Coz I Luv You	SLADE
Crashed The Wedding	BUSTED
Crazy	GNARLS BARKLEY
Crazy In Love	BEYONCE
Crazy Stupid Love	CHERYL COLE FT TINIE TEMPAH
Crossroads	BLAZIN' SQUAD
Crying	DON MCLEAN
Crying In The Chapel	ELVIS PRESLEY
Cum On Feel The Noize	SLADE
D I V O R C E	BILLY CONNOLLY
D'you Know What I Mean?	OASIS
Da Ya Think I'm Sexy	ROD STEWART
Dakota	STEREOPHONICS
Dance On!	SHADOWS
Dance With Me Tonight	OLLY MURS
Dance Wiv Me	DIZZEE RASCAL FEAT. CALVIN HARRIS & CHROME
Dancing In The Streets	DAVID BOWIE & MICK JAGGER
Dancing Queen	ABBA
Dare	GORILLAZ
Day & Night	BILLIE PIPER
Day Tripper	BEATLES
Daydreamer	DAVID CASSIDY
December '63 Oh What A Night	FOUR SEASONS
Deeper Underground	JAMIROQUAI
Deeply Dippy	RIGHT SAID FRED
Desire	U2
Despacito	LUIS FONSI & DADDY YANKEE FT JUSTIN BIEBER
Devil Gate Drive	SUZI QUATRO
Diamonds	JET HARRIS & TONY MEEHAN
Diamonds	RIHANNA
Diane	BACHELORS
Dilemma	NELLY FEATURING KELLY ROWLAND
Dirrty	CHRISTINA AGUILERA FEAT. REDMAN
Dirtee Disco	DIZZEE RASCAL
Discotheque	U2
Distant Drums	JIM REEVES
Dizzy	TOMMY ROE
Dizzy	VIC REEVES & THE WONDER STUFF
Do It Again	BEACH BOYS
Do The Bartman	SIMPSONS
Do They Know It's Christmas	BAND AID 30
Do They Know It's Christmas?	BAND AID
Do They Know It's Christmas?	BAND AID 20
Do They Know It's Christmas?	BAND AID II
Do Wah Diddy Diddy	MANFRED MANN
Do You Love Me	BRIAN POOLE & THE TREMELOES
Do You Mind	ANTHONY NEWLEY
Do You Really Like It	DJ PIED PIPER & THE MASTERS OF CEREMONIES
Do You Really Want To Hurt Me	CULTURE CLUB
Doctor Jones	AQUA
Doctorin' The Tardis	TIMELORDS
Domino	JESSIE J
Don't Be So Hard On Yourself	JESS GLYNNE
Don't Call Me Baby	MADISON AVENUE
Don't Cha	PUSSYCAT DOLLS FEAT. BUSTA RHYMES
Don't Cry For Me Argentina	JULIE COVINGTON
Don't Give Up	CHICANE FEATURING BRYAN ADAMS
Don't Give Up On Us	DAVID SOUL
Don't Go	WRETCH 32 FT JOSH KUMRA
Don't Go Breaking My Heart	ELTON JOHN & KIKI DEE
Don't Hold Your Breath	NICOLE SCHERZINGER
Don't Leave Me This Way	COMMUNARDS WITH SARAH-JANE MORRIS
Don't Let The Sun Go Down On Me	GEORGE MICHAEL & ELTON JOHN
Don't Look Back In Anger	OASIS
Don't Speak	NO DOUBT
Don't Stand So Close To Me	POLICE
Don't Stop Me Now	McFLY
Don't Stop Movin'	S CLUB 7
Don't Stop Wiggle Wiggle	OUTHERE BROTHERS
Don't Throw Your Love Away	SEARCHERS
Don't Turn Around	ASWAD
Don't Wanna Go Home	JASON DERULO
Don't You Want Me	HUMAN LEAGUE
Don't You Worry Child	SWEDISH HOUSE MAFIA
Doop	DOOP
Double Barrel	DAVE & ANSIL COLLINS
Down Down	STATUS QUO
Down Under	MEN AT WORK
Drag Me Down	ONE DIRECTION
Dreadlock Holiday	10 C.C.
Dreamer	LIVIN' JOY
Dreams	GABRIELLE
Dry Your Eyes	STREETS
Dub Be Good To Me	BEATS INTERNATIONAL FEATURING LINDY LAYTON
Dynamite	TAIO CRUZ
Déjà Vu	BEYONCE FEAT. JAY-Z
Earth Song	MICHAEL JACKSON
Easy Love	SIGALA
Easy Lover	PHILIP BAILEY (DUET WITH PHIL COLLINS)
Ebeneezer Goode	SHAMEN
Ebony And Ivory	PAUL McCARTNEY & STEVIE WONDER
End Of The Road	BOYZ II MEN
Ernie The Fastest Milkman In The West	BENNY HILL
Especially For You	KYLIE MINOGUE & JASON DONOVAN
Eternal Flame	ATOMIC KITTEN
Eternal Flame	BANGLES
Eternity	ROBBIE WILLIAMS
Evacuate The Dancefloor	CASCADA
Everlasting Love	LOVE AFFAIR
Every Breath You Take	POLICE
Every Little Thing She Does Is Magic	POLICE
Every Loser Wins	NICK BERRY
Everybody Hurts	HELPING HAITI
Everybody In Love	JLS
Everybody's Free To Wear Sunscreen	BAZ LUHRMANN
Everything Changes	TAKE THAT
Everything I Do I Do It For You	BRYAN ADAMS
Everything I Own	BOY GEORGE
Everything I Own	KEN BOOTHE
Everytime	BRITNEY SPEARS
Eye Level	SIMON PARK ORCHESTRA
Eye Of The Tiger	SURVIVOR
F U R B F U Right Back	FRANKEE
Fairground	SIMPLY RED
Fame	IRENE CARA
Fastlove	GEORGE MICHAEL
Feel It	TAMPERER FEATURING MAYA
Feel The Love	RUDIMENTAL FT JOHN NEWMAN
Feels Like I'm In Love	KELLY MARIE
Fernando	ABBA
Ferry 'cross The Mersey	CHRISTIANS, HOLLY JOHNSON, PAUL McCARTNEY, GERRY MARSDEN & STOCK AITKEN WATERMAN
Figaro	BROTHERHOOD OF MAN
Fight For This Love	CHERYL COLE
Fight Song	RACHEL PLATTEN
Fill Me In	CRAIG DAVID
Fire	CRAZY WORLD OF ARTHUR BROWN
Fireflies	OWL CITY
Firestarter	PRODIGY
First Cut Is The Deepest	ROD STEWART
Five Colours In Her Hair	McFLY
Five Live Ep	GEORGE MICHAEL & QUEEN WITH LISA STANSFIELD
Flat Beat	MR OIZO
Flava	PETER ANDRE
Float On	FLOATERS
Fly Away	LENNY KRAVITZ
Flying Without Wings	WESTLIFE
Fool Again	WESTLIFE
Foot Tapper	SHADOWS
Forever And Ever	SLIK
Forever Love	GARY BARLOW
Forget You	CEE LO GREEN
Frankie	SISTER SLEDGE
Freak Like Me	SUGABABES
Freak Me	ANOTHER LEVEL
Free	DENIECE WILLIAMS
Freedom	WHAM!
From Me To You	BEATLES
Frozen	MADONNA
Fuck It I Don't Want You Back	EAMON
Gangnam Style	PSY
Gangsta's Paradise	COOLIO FEATURING LV
Gecko Overdrive	OLIVER HELDENS & BECKY HILL
Genie In A Bottle	CHRISTINA AGUILERA
Geno	DEXY'S MIDNIGHT RUNNERS
Get Away	GEORGIE FAME & THE BLUE FLAMES
Get Back	BEATLES WITH BILLY PRESTON
Get Down	GILBERT O'SULLIVAN
Get It On	T REX
Get Lucky	DAFT PUNK FT PHARRELL WILLIAMS
Get Off Of My Cloud	ROLLING STONES
Get Right	JENNIFER LOPEZ
Get Up Rattle	BINGO PLAYERS FT FAR EAST
Gettin' Over You	DAVID GUETTA FT CHRIS WILLIS
Ghetto Gospel	2PAC FEAT. ELTON JOHN
Ghost	ELLA HENDERSON
Ghost Town	SPECIALS
Girlfriend	BILLIE
Give A Little Love	BAY CITY ROLLERS
Give It To Me	TIMBALAND FEAT. NELLY FURTADO & JUSTIN TIMBERLAKE
Give It Up	K C & THE SUNSHINE BAND
Give Me Everything	PITBULL
Glad All Over	DAVE CLARK FIVE
Glad You Came	WANTED
Go Let It Out	OASIS
Go Now	MOODY BLUES
Going Underground	JAM
Gonna Make You A Star	DAVID ESSEX
Good Feeling	FLO RIDA
Good Luck Charm	ELVIS PRESLEY
Good Times	ROLL DEEP
Good Timin'	JIMMY JONES
Good Vibrations	BEACH BOYS
Goodbye	SPICE GIRLS
Goodies	CIARA FEAT. PETEY PABLO
Goodnight Girl	WET WET WET
Goody Two Shoes	ADAM ANT
Gotta Get Thru This	DANIEL BEDINGFIELD
Grace Kelly	MIKA
Grandad	CLIVE DUNN
Greatest Day	TAKE THAT
Green Door	SHAKIN' STEVENS
Green Green Grass Of Home	TOM JONES
Green Light	ROLL DEEP
Grenade	BRUNO MARS
Groovejet If This Ain't Love	SPILLER
Gym And Tonic	SPACEDUST
Hall Of Fame	SCRIPT FT WILL I AM
Hallelujah	ALEXANDRA BURKE
Hand On Your Heart	KYLIE MINOGUE
Hangin' Tough	NEW KIDS ON THE BLOCK
Happy	PHARRELL WILLIAMS
Happy Talk	CAPTAIN SENSIBLE
Have I The Right	HONEYCOMBS
Have You Ever	S CLUB 7
He Ain't Heavy He's My Brother	JUSTICE COLLECTIVE
He Ain't Heavy, He's My Brother	HOLLIES
Heart	PET SHOP BOYS
Heart Of Glass	BLONDIE
Heart Skips A Beat	OLLY MURS FT RIZZLE KICKS
Heartbeat	STEPS
Heatwave	WILEY FT MS D
Heaven	DJ SAMMY & YANOU FEATURING DO
Heaven Is A Place On Earth	BELINDA CARLISLE
Hello	ADELE
Hello	LIONEL RICHIE
Hello Goodbye	BEATLES
Help!	BEATLES
Hero	ENRIQUE IGLESIAS
Hero	X FACTOR FINALISTS
Heroes	X FACTOR FINALISTS 2010
Hey Baby	DJ OTZI
Hey Girl Don't Bother Me	TAMS
Hey Jude	BEATLES
Hideaway	KIESZA
Hips Don't Lie	SHAKIRA FEAT. WYCLEF JEAN
Hit Me With Your Rhythm Stick	IAN DURY & THE BLOCKHEADS
Hold Me Close	DAVID ESSEX
Hold My Hand	JESS GLYNNE
Hole In The Head	SUGABABES
Holiday	DIZZEE RASCAL FEAT. CHROME
Holler	SPICE GIRLS
Honky Tonk Women	ROLLING STONES
Hot Love	T REX
Hot Right Now	DJ FRESH FT RITA ORA
House Every Weekend	DAVID ZOWIE
House Of Fun	MADNESS
How Can I Be Sure	DAVID CASSIDY
How Deep Is Your Love	TAKE THAT
How Do You Do It?	GERRY & THE PACEMAKERS
How We Do Party	RITA ORA
Hung Up	MADONNA
I Believe	ROBSON GREEN & JEROME FLYNN
I Believe I Can Fly	R KELLY
I Bet You Look Good On The Dancefloor	ARCTIC MONKEYS
I Can't Get No Satisfaction	ROLLING STONES
I Can't Help Falling In Love With You	UB40
I Can't Stop Loving You	RAY CHARLES
I Could Be The One	AVICII VS NICKY ROMERO
I Don't Care	CHERYL
I Don't Feel Like Dancin'	SCISSOR SISTERS
I Don't Like Mondays	BOOMTOWN RATS
I Don't Wanna Dance	EDDY GRANT
I Don't Wanna Know	MARIO WINANS FEAT. ENYA & P.DIDDY
I Don't Want To Talk About It	ROD STEWART
I Feel Fine	BEATLES
I Feel For You	CHAKA KHAN
I Feel Love	DONNA SUMMER
I Feel You	PETER ANDRE
I Got U	DUKE DUMONT FT JAX JONES
I Got You Babe	SONNY & CHER
I Got You Babe	UB40 FEATURING CHRISSIE HYNDE
I Gotta Feeling	BLACK EYED PEAS
I Have A Dream	WESTLIFE
I Hear You Knocking	DAVE EDMUNDS
I Heard It Through The Grapevine	MARVIN GAYE
I Just Called To Say I Love You	STEVIE WONDER
I Just Can't Stop Loving You	MICHAEL JACKSON
I Kissed A Girl	KATY PERRY
I Knew You Were Waiting For Me	ARETHA FRANKLIN & GEORGE MICHAEL
I Know Him So Well	ELAINE PAIGE & BARBARA DICKSON
I Like It	GERRY & THE PACEMAKERS
I Love It	ICONA POP FT CHARLI XCX
I Love To Love But My Baby Loves To Dance	TINA CHARLES
I Love You	CLIFF RICHARD & THE SHADOWS
I Love You Love Me Love	GARY GLITTER
I Only Have Eyes For You	ART GARFUNKEL
I Owe You Nothing	BROS
I Pretend	DES O'CONNOR
I Remember You	FRANK IFIELD
I Should Be So Lucky	KYLIE MINOGUE
I Should Have Known Better	JIM DIAMOND
I Think We're Alone Now	TIFFANY
I Took A Pill In Ibiza	MIKE POSNER
I Turn To You	MELANIE C
I Wanna Be The One	ETERNAL FEATURING BEBE WINANS
I Wanna Dance With Somebody Who Loves Me	WHITNEY HOUSTON
I Wanna Feel	SECONDCITY
I Wanna Sex You Up	COLOR ME BADD
I Want It That Way	BACKSTREET BOYS
I Want To Hold Your Hand	BEATLES
I Want To Know What Love Is	FOREIGNER
I Want To Wake Up With You	BORIS GARDINER
I Want You Back	MELANIE B FEATURING MISSY 'MISDEMEANOR' ELLIOTT
I Will Always Love You	WHITNEY HOUSTON
I Will Never Let You Down	RITA ORA
I Will Survive	GLORIA GAYNOR
I Wish I Was A Punk Rocker With Flowers In My Hair	SANDI THOM
I'd Do Anything For Love But I Won't Do That	MEAT LOAF
I'd Like To Teach The World To Sing In Perfect Harmony	NEW SEEKERS
I'll Be Missing You	PUFF DADDY & FAITH EVANS FEATURING 112
I'll Be Ok	McFLY
I'll Never Fall In Love Again	BOBBY GENTRY
I'll Never Find Another You	SEEKERS
I'll Stand By You	GIRLS ALOUD
I'm A Believer	MONKEES
I'm Alive	HOLLIES
I'm Gonna Be 500 Miles	THE PROCLAIMERS FEAT. BRIAN POTTER & ANDY PIPKIN
I'm Into Something Good	HERMAN'S HERMITS
I'm Not Alone	CALVIN HARRIS
I'm Not In Love	10 C.C.
I'm Still Waiting	DIANA ROSS
I'm The Leader Of The Gang I Am	GARY GLITTER
I'm The One	DJ KHALED FT JUSTIN BIEBER, QUAVO, CHANCE THE RAPPER & LIL WAYNE
I'm Your Man	WHAM!
I've Gotta Get A Message To You	BEE GEES
I've Never Been To Me	CHARLENE
Ice Ice Baby	VANILLA ICE
If	TELLY SAVALAS
If I Let You Go	WESTLIFE
If I Was	MIDGE URE
If I Were A Boy	BEYONCE
If Paradise Is Half As Nice	AMEN CORNER
If Tomorrow Never Comes	RONAN KEATING
If You Come Back	BLUE
If You Leave Me Now	CHICAGO
If You Tolerate This Your Children Will Be Next	MANIC STREET PREACHERS
If You're Not The One	DANIEL BEDINGFIELD
Ignition	R KELLY
Imagine	JOHN LENNON
Impossible	JAMES ARTHUR
In My Head	JASON DERULO
In The Summertime	MUNGO JERRY
In The Year 2525 Exorium And Terminus	ZAGER & EVANS
Independent Women Part 1	DESTINY'S CHILD
Innuendo	QUEEN
Inside	STILTSKIN
Into The Groove	MADONNA
Is There Something I Should Know	DURAN DURAN
Is This The Way To Amarillo?	TONY CHRISTIE FEAT. PETER KAY
Islands In The Stream	VANESSA JENKINS & BRYN WEST FEAT. TOM JONES & ROBIN GIBB
Israelites	DESMOND DEKKER & THE ACES
It Feels So Good	SONIQUE
It Wasn't Me	SHAGGY
It's A Sin	PET SHOP BOYS
It's All Over Now	ROLLING STONES
It's Chico Time	CHICO
It's Like That	RUN DMC VERSUS JASON NEVINS
It's My Birthday	WILL I AM FT CODY WISE
It's My Party	DAVE STEWART WITH BARBARA GASKIN
It's Not Unusual	TOM JONES
It's Now Or Never	ELVIS PRESLEY WITH THE JORDANAIRES
It's Over	ROY ORBISON
It's Raining Men	GERI HALLIWELL
Itsy Bitsy Teeny Weeny Yellow Polka Dot Bikini	BOMBALURINA FEATURING TIMMY MALLETT
Jack Your Body	STEVE 'SILK' HURLEY
Jailhouse Rock	ELVIS PRESLEY
January	PILOT
Japanese Boy	ANEKA
Jcb Song	NIZLOPI
Je T'aime Moi Non Plus	JANE BIRKIN & SERGE GAINSBOURG
Jealous Guy	ROXY MUSIC
Jealous Mind	ALVIN STARDUST
Jesus To A Child	GEORGE MICHAEL
Johnny Remember Me	JOHN LEYTON
Juliet	FOUR PENNIES
Jumpin' Jack Flash	ROLLING STONES
Just A Little	LIBERTY X
Just Dance	LADY GAGA
Just Like A Pill	PINK
Just Like Starting Over	JOHN LENNON
Just Lose It	EMINEM
Just The Way You Are Amazing	BRUNO MARS
Karma Chameleon	CULTURE CLUB
Keep On Movin'	FIVE
Keep On Running	SPENCER DAVIS GROUP
Killer	ADAMSKI
Killing In The Name	RAGE AGAINST THE MACHINE
Killing Me Softly	FUGEES
King	YEARS & YEARS
King Of My Castle	WAMDUE PROJECT
King Of The Road	ROGER MILLER
Kiss Kiss	HOLLY VALANCE
Knock Three Times	DAWN
Knockin' On Heaven's Door	DUNBLANE
Knowing Me Knowing You	ABBA
Kon-tiki	SHADOWS
Kung Fu Fighting	CARL DOUGLAS
La Bamba	LOS LOBOS
La Isla Bonita	MADONNA
La La La	NAUGHTY BOY FT SAM SMITH
Lady Hear Me Tonight	MODJO
Lady Madonna	BEATLES
Lady Marmalade	CHRISTINA AGUILERA
Lay Me Down	SAM SMITH FT JOHN LEGEND
Leave Right Now	WILL YOUNG
Let It Be	FERRY AID
Let Love Lead The Way	SPICE GIRLS
Let Me Be Your Fantasy	BABY D
Let Me Love You Until You Learn To Love	NE-YO
Let The Heartaches Begin	LONG JOHN BALDRY
Let's Dance	DAVID BOWIE
Let's Dance	FIVE
Let's Get Ready To Rhumble	PJ & DUNCAN
Let's Party	JIVE BUNNY & THE MASTERMIXERS
Life Is A Rollercoaster	RONAN KEATING
Lift Me Up	GERI HALLIWELL
Light My Fire	WILL YOUNG
Like A Prayer	MADONNA
Like Toy Soldiers	EMINEM
Lily The Pink	SCAFFOLD
Little Children	BILLY J. KRAMER & THE DAKOTAS
Little Red Rooster	ROLLING STONES
Little Sister	ELVIS PRESLEY
Little Things	ONE DIRECTION
Livin' La Vida Loca	RICKY MARTIN
Living Doll	CLIFF RICHARD & THE YOUNG ONES FEATURING HANK B MARVIN
Living On My Own	FREDDIE MERCURY
Loca People	SAK NOEL
Lola's Theme	SHAPESHIFTERS
Loneliness	TOMCRAFT
Lonely	AKON
Lonely This Christmas	MUD
Long Haired Lover From Liverpool	LITTLE JIMMY OSMOND
Long Live Love	SANDIE SHAW
Look Right Through	STORM QUEEN
Lose Yourself	EMINEM
Louder	DJ FRESH FT SIAN EVANS
Love Can Build A Bridge	CHER, CHRISSIE HYNDE, NENEH CHERRY WITH ERIC CLAPTON
Love Don't Cost A Thing	JENNIFER LOPEZ
Love Grows Where My Rosemary Goes	EDISON LIGHTHOUSE
Love Is All Around	WET WET WET
Love Me Again	JOHN NEWMAN
Love Me For A Reason	OSMONDS
Love Me Like You Do	ELLIE GOULDING
Love Won't Wait	GARY BARLOW
Love You More	JLS
Love Yourself	JUSTIN BIEBER
Lovers On The Sun	DAVID GUETTA FT SAM MARTIN
Lovesick Blues	FRANK IFIELD
Lucille	KENNY ROGERS
Lyla	OASIS
Mad World	MICHAEL ANDREWS FEAT. GARY JULES
Make It Easy On Yourself	WALKER BROTHERS
Make Luv	ROOM 5 FEAT. OLIVER CHEATHAM
Make Me Smile	STEVE HARLEY & COCKNEY REBEL
Making Your Mind Up	BUCKS FIZZ
Mama	SPICE GIRLS
Mama Do	PIXIE LOTT
Mama Weer All Crazee Now	SLADE
Mambo No 5	BOB THE BUILDER
Mambo No 5	LOU BEGA
Mamma Mia	ABBA
Mandy	WESTLIFE
Maneater	NELLY FURTADO
Maria	BLONDIE
Marie's The Name His Latest Flame	ELVIS PRESLEY
Marvin Gaye	CHARLIE PUTH FT MEGHAN TRAINOR
Mary's Boy Child - Oh My Lord	BONEY M
Massachusetts	BEE GEES
Matchstalk Men And Matchstalk Cats And Dogs	BRIAN & MICHAEL
Me And My Broken Heart	RIXTON
Meet Me Halfway	BLACK EYED PEAS
Men In Black	WILL SMITH
Mercy	DUFFY
Merry Christmas Everyone	SHAKIN' STEVENS
Merry Xmas Everybody	SLADE
Message In A Bottle	POLICE
Metal Guru	T REX
Mi Chico Latino	GERI HALLIWELL
Michael	HIGHWAYMEN
Michelle	OVERLANDERS
Mighty Quinn	MANFRED MANN
Millennium	ROBBIE WILLIAMS
Millennium Prayer	CLIFF RICHARD
Mirrors	JUSTIN TIMBERLAKE
Mississippi	PUSSYCAT
Mistletoe And Wine	CLIFF RICHARD
Mmmbop	HANSON
Money On My Mind	SAM SMITH
Mony Mony	TOMMY JAMES & THE SHONDELLS
Moon River	DANNY WILLIAMS
More Than A Woman	AALIYAH
Mouldy Old Dough	LIEUTENANT PIGEON
Move Closer	PHYLLIS NELSON
Mr Blobby	MR BLOBBY
Mr Tambourine Man	BYRDS
Mr Vain	CULTURE BEAT
Ms Grace	TYMES
Mull Of Kintyre	WINGS
Music	MADONNA
My Camera Never Lies	BUCKS FIZZ
My Ding-a-ling	CHUCK BERRY
My Heart Will Go On	CELINE DION
My Life Would Suck Without You	KELLY CLARKSON
My Love	ROUTE 94 FT JESS GLYNNE
My Love	WESTLIFE
My Old Man's A Dustman	LONNIE DONEGAN
My Place	NELLY
My Sweet Lord	GEORGE HARRISON
Mysterious Girl	PETER ANDRE FEAT. BUBBLER RANX
Nasty Girl	NOTORIOUS BIG FEAT. DIDDY, NELLY, JAGGED EDGE & AVERY STORM
